m/z	I	
698.2058	352	
698.2512	114	
698.3177	417	
698.4277	329	
698.5660	111	
698.7192	175	
698.7634	117	
698.8444	143	
698.9702	241	
699.0981	259	
699.2239	239	
699.3499	145	
699.5313	130	
699.6728	342	
699.8172	268	
699.9599	330	
700.0950	146	
700.4094	170	
700.7450	119	
701.0866	179	
702.0897	141	
703.0930	112	
703.5916	308	
703.8395	355	
704.0931	232	
704.3414	117	
704.4143	119	
704.5907	136	
704.9662	473	
705.0642	5653	
705.2177	993	
705.3420	1079	
705.4671	1138	
705.5930	525	
705.7181	219	
705.8423	134	
705.9662	108	
706.0662	1763	
706.4646	118	
706.5903	321	
706.7159	355	
706.8078	129	
706.8401	475	
706.9622	233	
707.0634	770	
707.1130	933	
707.2366	101	
707.7567	103	
708.0756	389	
708.1136	200	
708.4159	420	
708.5247	135	
708.5796	221	
708.6700	151	
708.7551	277	
708.8123	125	
708.9458	296	
709.0834	325	
709.2775	132	
709.3839	132	
709.4193	106	
709.4365	104	
709.5246	203	
709.6063	439	
709.6680	184	
709.8135	151	
709.9560	139	
710.1009	376	
710.5970	194	
710.9541	131	
711.0968	336	
711.2405	265	
711.3823	255	
711.5296	198	
711.6098	732	
711.6676	103	
711.7773	1152	
711.9440	1182	
712.0385	580	
712.1104	867	
712.2781	415	
712.4454	273	
712.5073	174	
712.6089	122	
712.7085	311	
712.9099	151	
713.0404	159	
713.1030	218	
713.5936	110	
713.9325	108	
716.1097	1336	
716.3110	1878	
716.4301	821	
716.5109	1946	
716.5995	1603	
716.7117	1033	
716.7671	1463	
716.9305	1110	
717.0990	982	
717.2679	415	
717.4340	223	
717.5836	231	
718.0880	298	
718.2322	425	
718.3759	491	
718.5185	393	
718.5976	324	
718.6644	255	
718.7043	159	
718.7630	422	
718.8081	192	
718.9289	379	
719.1006	314	
719.2654	168	
719.3036	102	
719.8966	109	
720.0914	185	
720.5925	116	
720.6630	109	
720.8065	185	
720.9468	238	
721.0936	263	
721.2366	141	
721.3749	131	
721.9359	1085	
722.1030	2097	
722.2699	1819	
722.4369	1421	
722.6009	1016	
722.7224	556	
722.7693	400	
722.8474	495	
722.9698	370	
723.0952	364	
723.2217	194	
723.7579	121	
724.0856	144	
724.3628	237	
724.6128	204	
724.8606	221	
724.9387	248	
725.1040	466	
725.2673	294	
725.3871	363	
725.4401	193	
725.5306	368	
725.6058	230	
725.6755	200	
725.8169	258	
725.9589	159	
726.0957	195	
726.4250	151	
726.5919	211	
726.7577	1578	
726.9254	3145	
727.0493	507	
727.0921	3363	
727.2590	2693	
727.4264	1351	
727.5314	297	
727.5924	865	
727.6744	613	
727.7618	382	
727.8170	738	
727.9597	622	
728.0304	972	
728.1013	520	
728.2476	199	
728.3901	149	
728.5016	1504	
728.7020	2100	
