m/z	I	
758.8483	6344	
758.9735	8917	
759.0984	9928	
759.2236	9233	
759.3484	7045	
759.4748	4854	
759.5988	2945	
764.1009	4981	
764.2260	10000	
764.3510	13143	
764.4762	12558	
764.6012	10324	
764.7265	7089	
764.8517	4160	
764.9767	2292	
766.1054	3222	
766.3086	4478	
766.5094	3804	
766.7123	2780	
768.0991	5823	
768.2244	12212	
768.3498	16530	
768.4752	17217	
768.6012	20922	
768.7273	27159	
768.8530	29551	
768.9785	26908	
769.1038	20895	
769.2290	13310	
769.3541	7875	
769.4797	4480	
769.6041	2883	
770.1036	2042	
770.2272	6965	
770.3513	29206	
770.4763	53445	
770.6003	331312	
770.7254	693532	
770.8506	886029	
770.9760	886166	
771.1012	730063	
771.2264	495623	
771.3515	286967	
771.4767	155033	
771.5407	8473	
771.6020	76990	
771.6664	6620	
771.7272	37870	
771.7936	6692	
771.8523	18021	
771.9240	6209	
771.9769	9570	
772.0443	4445	
772.0595	4531	
772.1018	6632	
772.1707	4237	
772.2259	3895	
772.2898	3169	
772.3042	3319	
772.3492	4461	
772.4137	2916	
772.4758	5372	
772.5991	15892	
772.6560	2134	
772.7241	29615	
772.8492	38165	
772.9745	39924	
773.0997	33056	
773.2248	24248	
773.3500	17833	
773.4744	14328	
773.5991	11947	
773.7241	9765	
773.8490	7399	
773.9746	4932	
774.0996	3717	
774.2253	2242	
774.8483	2131	
774.9735	2123	
775.0993	2026	
775.4718	2519	
775.5969	3328	
775.7225	3961	
775.8480	3974	
775.9737	3478	
776.1002	3034	
776.2264	2405	
780.9661	2034	
781.1044	2481	
783.3921	2094	
783.4485	2713	
783.5355	4357	
783.6787	5208	
783.7829	2595	
783.8216	4567	
783.9653	3290	
784.1113	3002	
793.1001	3413	
793.6010	2241	
810.6409	3010	
811.1410	2017	
815.7334	2276	
815.8583	2383	
832.9674	4903	
833.1105	10318	
833.2539	12624	
833.3969	12323	
833.5400	8949	
833.6829	6153	
833.8256	3644	
833.9685	2141	
835.3945	2073	
835.5364	2211	
835.6806	2055	
837.1114	2085	
837.2553	2091	
844.5358	2625	
844.6790	2375	
844.8222	2102	
846.6736	2716	
846.8168	5374	
846.9599	6950	
847.1032	6875	
847.2461	4990	
847.3892	3495	
862.1104	2578	
862.2536	2218	
864.3949	2303	
864.5383	2060	
867.2565	2818	
867.3991	5086	
867.5420	7000	
867.6848	7844	
867.8278	7273	
867.9706	5580	
868.1136	3978	
868.2572	2371	
873.4020	4000	
873.5447	7858	
873.6877	10439	
873.8307	10355	
873.9741	8110	
874.1169	5462	
874.2599	3287	
877.9716	4398	
878.1146	10323	
878.2578	13858	
878.4010	13918	
878.5452	17288	
878.6893	22182	
878.8330	23793	
878.9762	20343	
879.1195	16777	
879.2626	11089	
879.4056	6262	
879.5486	3511	
879.6916	2121	
880.4034	5900	
880.5453	23280	
880.6881	43430	
880.8298	268225	
880.9729	573527	
881.1159	741898	
881.2590	734004	
881.4022	598150	
881.5452	400916	
881.6883	237484	
881.8315	127174	
881.9747	64901	
882.1179	33302	
882.2616	15364	
882.3365	3607	
882.4051	7527	
882.4864	3536	
882.5461	4174	
882.5944	2830	
882.6362	3028	
882.6882	3341	
882.7454	2380	
882.7844	2522	
882.8280	3425	
882.9726	4115	
883.1143	12662	
883.2570	22808	
883.4001	31573	
883.5433	32013	
883.6863	26285	
