Mass	Intensity
631.357	14572
631.444	14190
631.453	14152
631.575	13696
631.602	13747
631.751	13743
632.029	17376
632.245	14153
632.359	14188
632.453	13910
632.564	13931
632.708	13922
632.779	13729
633.026	19640
633.279	14265
633.379	13944
633.482	14268
633.56	13845
633.634	13801
633.758	13411
633.861	13618
634.029	16109
634.287	13938
634.433	13364
634.533	13561
634.607	13513
634.717	13367
634.831	13233
635.023	23825
635.348	14196
635.436	13599
635.513	13658
635.554	13420
635.686	13211
635.825	13346
636.03	17867
636.288	13568
636.378	13402
636.492	13327
636.579	13522
636.7	13305
636.844	13266
637.03	18839
637.347	13509
637.486	13298
637.724	12802
637.769	12825
637.851	12711
638.032	16721
638.251	13552
638.384	13408
638.491	13175
638.611	12970
638.824	12888
639.032	17850
639.361	13305
639.43	13078
639.588	12772
639.614	12903
639.626	12750
639.756	12506
639.825	12778
640.052	16083
640.293	13734
640.359	13554
640.509	13098
640.617	13159
640.788	13031
641.023	21030
641.246	13722
641.328	13736
641.502	13058
641.648	12793
641.714	12917
642.03	17092
642.25	13448
642.374	13529
642.488	13448
642.559	13520
642.84	15531
643.104	401497
643.807	18980
644.105	122949
644.806	18914
645.11	63325
645.435	19193
645.526	18248
645.602	17878
645.675	17374
645.761	17107
645.863	16590
646.111	28028
646.261	19361
646.606	17064
646.702	16761
646.77	17151
647.044	24785
647.454	17495
647.602	16398
647.7	16432
648.036	20217
648.288	16461
648.421	16679
648.596	16195
648.666	16069
648.731	15808
648.84	15773
649.029	22437
649.346	16117
649.435	16130
649.494	16232
649.59	15648
649.651	15752
649.811	15582
650.033	19073
650.239	16353
650.33	15778
650.459	15842
650.579	15676
650.783	15659
651.018	23854
651.266	16167
651.483	15700
651.555	15397
651.632	15876
651.791	15402
651.857	15232
652.032	19458
652.167	16561
652.309	15392
652.474	15841
652.571	15565
652.6	15498
653.035	22052
653.335	15471
653.435	15507
653.541	15130
653.662	14992
653.781	15027
654.029	19354
654.308	15381
654.391	15257
654.555	15104
654.761	14969
655.03	20519
655.321	15833
655.381	15405
655.494	15140
655.553	14749
655.63	14776
655.693	14831
655.756	14665
655.85	14875
656.039	18299
656.236	15291
656.362	15190
656.551	14191
656.567	14319
656.683	14415
656.704	14366
656.752	14371
656.977	29709
657.42	14898
657.526	14225
657.642	14159
657.65	14141
657.709	14511
658.015	19184
658.305	14779
658.324	14764
658.433	14616
658.661	14343
658.795	13845
659.035	20485
659.329	16099
659.547	14146
659.719	13631
659.78	13752
660.024	17222
660.274	14256
660.33	14881
660.656	13593
660.738	13604
660.765	13494
661.056	18637
661.309	14582
661.371	14371
661.486	14218
661.632	13442
661.733	13671
662.07	17148
662.28	14417
662.405	13732
662.463	13794
662.598	14135
662.744	13742
663.022	22006
663.415	14256
663.501	13702
663.552	13676
663.661	13287
663.797	13565
663.865	13905
664.029	17700
664.258	13939
664.366	13828
664.648	13477
664.74	13615
664.822	13639
665.08	35399
665.363	14686
665.423	14372
665.552	13678
665.617	13734
665.758	13360
665.818	13381
666.075	21411
666.362	14082
666.464	13579
666.519	13715
666.596	13533
666.715	13437
666.801	13591
667.038	20805
667.618	13345
667.653	13258
667.892	13565
668.035	17756
668.343	13612
668.438	13407
668.534	13331
668.7	13065
668.772	13094
668.855	13180
669.04	19453
669.376	13529
669.439	13680
669.507	13458
669.608	13095
669.66	13119
669.779	13255
669.844	13457
670.053	16800
670.323	13657
670.423	13402
670.469	13527
670.757	13128
670.863	13086
671.041	18749
671.143	16244
671.416	13605
671.566	13092
671.626	12943
671.727	12670
671.815	12869
672.038	16293
672.183	14157
672.311	13221
672.404	13221
672.575	12893
672.672	12898
672.956	21128
673.008	21255
673.345	15480
673.593	13274
673.73	12626
673.785	12820
674.036	16411
674.367	13904
674.661	12719
674.738	12674
674.823	12627
675.017	24115
675.293	14081
675.426	13553
675.592	13058
675.742	13086
675.82	12940
676.026	17860
676.299	13622
676.408	13241
676.623	13087
676.696	12928
677.031	18693
677.344	13535
677.364	13555
677.417	13566
677.679	13143
677.783	13057
677.837	13116
677.852	13042
678.032	16300
678.234	13967
678.336	13338
678.407	13442
678.506	13123
678.535	13237
678.625	13298
678.813	13389
678.983	22541
679.427	14032
679.647	13519
679.739	13792
679.808	13562
680.028	17259
680.368	13777
680.439	13736
680.557	13690
680.6	13694
680.682	13410
680.738	13539
681.029	21440
681.342	14268
